raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,calificacion_popular,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida
Airedale Terrier,terrier,19819,11.45,1,733,489,2,1,51.0,medium,20.35,58,Above average,15-25,>70,hip problems,hip dysplasia,mid-price,475,1200,no data,"11,976"
American English Coonhound,hound,19819,11.5,1,283,489,2,1,51.0,large,20.35,62,no data,no data,no data,no data,no data,budget,100,350,no data,no data
American Eskimo Dog,non-sporting,19819,10.95,0,560,489,2,1,51.0,small,20.35,36,no data,no data,no data,none,none,budget,300,950,no data,no data
American Foxhound,hound,19819,10.95,1,757,489,2,1,51.0,medium,20.35,58,Average,25-40,>50,no data,no data,mid-price,250,1000,no data,no data
American Staffordshire Terrier,terrier,19819,10.95,1,1043,489,2,1,51.0,medium,20.35,46,Above average,15-25,>70,skin problems,Demodicosis/ Demodectic mange,mid-price,250,1500,no data,no data
American Water Spaniel,sporting,19819,10.95,0,730,489,2,1,51.0,medium,16.0,42,Average,25-40,>50,none,none,mid-price,600,1250,no data,no data
Anatolian Shepherd Dog,working,19819,10.75,1,795,489,2,2,51.0,large,52.0,71,no data,no data,no data,no data,no data,no data,no data,no data,"6,548","11,244"
Bearded Collie,herding,19819,12.77,0,795,489,1,1,51.0,medium,20.35,53,Above average,15-25,>70,none,none,no data,no data,no data,"5,111","13,357"
Beauceron,herding,19819,10.95,1,967,489,2,1,51.0,large,20.35,65,no data,no data,no data,no data,no data,mid-price,950,"1,000",no data,no data
Belgian Malinois,herding,19819,10.95,0,1080,489,2,1,51.0,large,20.35,61,Excellent,5-15,>85,none,none,mid-price,550,2000,no data,no data
Belgian Sheepdog,herding,19819,10.95,4,795,489,2,1,51.0,large,20.35,61,Excellent,5-15,>85,"cataracts + other eye problems, muscular dystrophy","Cataracts, Pannus - chronic superficial keratitis, Progressive retinal atrophy, X-linked muscular dystrophy",no data,no data,no data,no data,no data
Black and Tan Coonhound,hound,19819,10.95,0,325,489,2,1,51.0,large,20.35,64,Average,25-40,>50,none,none,budget,200,500,no data,no data
Black Russian Terrier,working,19819,10.5,0,2833,489,2,1,51.0,large,20.35,71,no data,no data,no data,none,none,high-end,2500,3000,no data,no data
Bluetick Coonhound,hound,19819,10.95,0,370,489,2,1,51.0,large,28.0,61,no data,no data,no data,none,none,budget,200,500,no data,no data
Boykin Spaniel,sporting,19819,10.95,1,531,489,2,1,51.0,medium,20.35,41,no data,no data,no data,no data,no data,budget,200,800,no data,no data
